spatial_info_id,installation_location,road_name,longitude,latitude,district_code,district_name,parking_violation_note,weekday_start_time_am,weekday_start_time_pm,weekday_end_time_am,weekday_end_time_pm,saturday_start_time_am,saturday_start_time_pm,saturday_end_time_am,saturday_end_time_pm,holiday_start_time_am,holiday_start_time_pm,holiday_end_time_am,holiday_end_time_pm
74,성서홈플러스입구 부근(홈플러스성서점 정문),달구벌대로,128.5278942,35.84906473,7,달서구,촬영간격 - 10분  (토  일  공휴일 O),7:00,14:00,12:00,21:00,7:00,14:00,12:00,21:00,7:00,14:00,12:00,21:00
75,향군회관앞 부근(용산동),달구벌대로,128.5294513,35.84928637,7,달서구,촬영간격 - 10분  (토  일  공휴일 O),7:00,14:00,12:00,21:00,7:00,14:00,12:00,21:00,7:00,14:00,12:00,21:00
76,상인네거리 부근(상인역 4번 출구),월곡로,128.5382208,35.81836048,7,달서구,촬영간격 - 5분,9:00,14:00,12:00,18:00,-,-,-,-,-,-,-,-
77,서부정류장 부근(성당네거리 모퉁이),성당로,128.5574802,35.83769262,7,달서구,촬영간격 - 2분,9:00,14:00,12:00,21:00,-,-,-,-,-,-,-,-
78,서부정류장 출입구 (박종혁이비인후과  송현2동),월배로,128.5565423,35.83648332,7,달서구,촬영간격 - 10분,9:00,14:00,12:00,18:00,-,-,-,-,-,-,-,-
79,해성병원 부근(보성화성타운건너  IBK기업은행 앞),계대동문로,128.5039223,35.85535127,7,달서구,촬영간격 - 10분,9:00,14:00,12:00,18:00,-,-,-,-,-,-,-,-
710,상인홈플러스 부근,월배로,128.5343382,35.81803979,7,달서구,촬영간격 - 10분,9:00,14:00,12:00,18:00,-,-,-,-,-,-,-,-
711,남대구중고상사 부근 (자동차매매상사  조은전동지게차 앞 삼거리),성서공단로,128.5223246,35.83656355,7,달서구,촬영간격 - 10분,9:00,14:00,12:00,18:00,-,-,-,-,-,-,-,-
712,국민연금네거리 부근,성서로,128.5071511,35.85526961,7,달서구,촬영간격 - 10분,9:00,14:00,12:00,18:00,-,-,-,-,-,-,-,-
713,성서이마트 부근(BYC 매장),이곡공원로,128.5096345,35.85520788,7,달서구,촬영간격 - 10분,9:00,14:00,12:00,18:00,-,-,-,-,-,-,-,-
